path,noise,brightness_calc,contrast_calc,brightness,gamma,gain,exposure_absolute,contrast,saturation,hue,white_balance_temp,white_balance_auto,exposure_auto
assets/b-48_g72_g60_e300_c32_s40_h-10_w0_w6500_e0_1628851935.jpg,1.5228736043919395e-33,9.518908584077371,9.490718429585854,-48,72,60,300,32,40,-10,6500,False,False
assets/b-48_g72_g60_e400_c32_s40_h-10_w0_w6500_e0_1628851941.jpg,1.5228736043919395e-33,12.219771330592142,12.174772922429229,-48,72,60,400,32,40,-10,6500,False,False
assets/b-48_g72_g60_e500_c32_s40_h-10_w0_w6500_e0_1628851945.jpg,1.5228736043919395e-33,14.29779793406412,14.23650741167591,-48,72,60,500,32,40,-10,6500,False,False
assets/b-48_g72_g60_e600_c32_s40_h-10_w0_w6500_e0_1628851951.jpg,1.5228736043919395e-33,16.00267596276022,15.925532506253006,-48,72,60,600,32,40,-10,6500,False,False
assets/b-48_g72_g60_e700_c32_s40_h-10_w0_w6500_e0_1628851956.jpg,1.5228736043919395e-33,17.384527676794338,17.2925725459567,-48,72,60,700,32,40,-10,6500,False,False
assets/b-48_g72_g60_e800_c32_s40_h-10_w0_w6500_e0_1628851961.jpg,1.5228736043919395e-33,18.538888248733763,18.43327440461036,-48,72,60,800,32,40,-10,6500,False,False
assets/b-48_g72_g60_e900_c32_s40_h-10_w0_w6500_e0_1628851967.jpg,1.5228736043919395e-33,19.491899833113685,19.373546967519005,-48,72,60,900,32,40,-10,6500,False,False
assets/b-48_g72_g80_e100_c32_s40_h-10_w0_w6500_e0_1628851972.jpg,1.4548891015646755e-17,2.5244228481438955,2.5206642833825383,-48,72,80,100,32,40,-10,6500,False,False
assets/b-48_g72_g80_e200_c32_s40_h-10_w0_w6500_e0_1628851978.jpg,8.573016246589878e-18,7.398073419855282,7.381504995482277,-48,72,80,200,32,40,-10,6500,False,False
assets/b-48_g72_g80_e300_c32_s40_h-10_w0_w6500_e0_1628851984.jpg,1.5228736043919395e-33,11.097165780479495,11.062703112924217,-48,72,80,300,32,40,-10,6500,False,False
assets/b-48_g72_g80_e400_c32_s40_h-10_w0_w6500_e0_1628851991.jpg,1.5228736043919395e-33,13.899468078989955,13.845723419798738,-48,72,80,400,32,40,-10,6500,False,False
assets/b-48_g72_g80_e500_c32_s40_h-10_w0_w6500_e0_1628851997.jpg,1.5228736043919395e-33,15.962994227167755,15.891328144358587,-48,72,80,500,32,40,-10,6500,False,False
assets/b-48_g72_g80_e600_c32_s40_h-10_w0_w6500_e0_1628852001.jpg,1.5228736043919395e-33,17.614181651668265,17.525518111107463,-48,72,80,600,32,40,-10,6500,False,False
assets/b-48_g72_g80_e700_c32_s40_h-10_w0_w6500_e0_1628852006.jpg,1.5228736043919395e-33,18.919276841395238,18.81475499237347,-48,72,80,700,32,40,-10,6500,False,False
assets/b-48_g72_g80_e800_c32_s40_h-10_w0_w6500_e0_1628852012.jpg,1.5228736043919395e-33,20.013319591728756,19.8941841459703,-48,72,80,800,32,40,-10,6500,False,False
